"date","champaign","salem","ithaca"
2021-02-03,25.3175,35.45,25.16
2021-02-04,31.5875,36.89,23.5475
2021-02-05,23.06,32.0075,33.1625
2021-02-06,16.94,27.545,22.7825
2021-02-07,2.2625,16.7675,16.265
2021-02-08,9.455,25.205,7.7375
2021-02-09,12.4775,18.4475,20.66
2021-02-10,13.9775,15.95,16.775
2021-02-11,15.29,15.3275,15.7325
2021-02-12,11.945,13.4225,7.2275
2021-02-13,7.7225,7.4075,13.1675
2021-02-14,0.470000000000006,1.895,21.2675
2021-02-15,4.4225,-1.94500000000001,21.1025
2021-02-16,4.115,2.855,28.2875
2021-02-17,5.5325,15.4475,13.88
2021-02-18,13.6175,17.48,18.6575
2021-02-19,8.0825,14.615,23.9
2021-02-20,18.92,26.2175,21.4625
2021-02-21,28.01,36.5375,NA
2021-02-22,34.805,42.92,27.6275
2021-02-23,40.88,54.89,31.7825
2021-02-24,40.9625,51.485,39.26
2021-02-25,34.43,39.5525,29.465
2021-02-26,36.1925,39.8075,25.16
2021-02-27,42.08,47.81,NA
2021-02-28,47.8625,52.7,31.8125
2021-03-01,32.3525,37.31,32.2025
2021-03-02,32.6,37.6175,13.94
2021-03-03,42.7025,47.135,27.0875
2021-03-04,35.9825,49.5425,25.745
2021-03-05,33.95,40.7,20.63
2021-03-06,36.62,40.5725,19.895
2021-03-07,40.2725,46.1825,NA
2021-03-08,48.74,53.1575,19.325
2021-03-09,52.6625,57.2525,38.48
2021-03-10,58.58,60.8975,NA
2021-03-11,53.5625,54.1025,50.3075
2021-03-12,43.7075,45.8525,44.6975
2021-03-13,43.805,48.2,27.9875
2021-03-14,43.55,50.5175,31.2575
2021-03-15,36.44,52.595,19.1675
2021-03-16,39.515,51.4175,24.965
2021-03-17,43.25,51.26,37.715
2021-03-18,41.015,38.165,36.7625
2021-03-19,37.94,41.5625,26.1275
2021-03-20,41.54,42.5825,32.0225
2021-03-21,46.49,52.5275,38.855
2021-03-22,50.5175,54.47,43.0025
2021-03-23,55.88,56.885,45.6125
2021-03-24,52.9775,53.8775,50.0075
2021-03-25,48.245,48.7325,60.2
2021-03-26,45.5375,52.25,55.7375
2021-03-27,55.0775,60.7475,44
2021-03-28,42.5975,47.0975,47.69
2021-03-29,45.29,51.17,34.8275
2021-03-30,54.1175,57.9275,46.235
2021-03-31,39.7175,45.3575,48.365
2021-04-01,32.6375,36.065,30.4325
2021-04-02,35.87,40.535,24.6575
2021-04-03,50.285,54.1025,33.1925
2021-04-04,57.5675,59.7275,42.4475
2021-04-05,62.555,63.6725,39.9425
2021-04-06,65.015,67.595,42.635
2021-04-07,68.075,62.72,52.865
2021-04-08,55.73,48.875,56.69
2021-04-09,59.7575,61.52,56.1575
2021-04-10,55.2725,52.1375,60.545
2021-04-11,47.78,57.9275,56.8625
2021-04-12,52.2875,54.155,45.4775
2021-04-13,49.385,51.4925,49.1
2021-04-14,46.5275,54.485,50.6
2021-04-15,45.83,49.085,42.2825
2021-04-16,47.9525,48.065,36.995
2021-04-17,52.0475,47.1425,NA
2021-04-18,49.3175,49.1525,46.2275
2021-04-19,48.365,52.13,45.6575
2021-04-20,34.895,34.8575,41.4725
2021-04-21,38.7425,39.6275,31.8875
2021-04-22,42.0275,42.83,30.3725
2021-04-23,47.8625,50.51,42.6125
2021-04-24,50.78,51.605,50.7575
2021-04-25,48.95,56.0675,47.69
2021-04-26,60.8375,67.4375,36.2825
2021-04-27,71.435,69.515,50.0525
2021-04-28,66.74,66.68,60.515
2021-04-29,57.6425,64.0025,53.8925
2021-04-30,55.4975,62.8175,45.1625
2021-05-01,61.385,64.955,41.7275
2021-05-02,64.5125,63.5075,56.195
2021-05-03,63.71,69.4475,54.2
2021-05-04,56.3225,55.88,61.7675
2021-05-05,52.4,54.2375,51.9125
2021-05-06,51.4025,54.905,44.8025
2021-05-07,53.75,56.2475,42.5975
2021-05-08,47.15,61.5575,40.775
2021-05-09,44.675,54.575,42.17
2021-05-10,48.7925,48.4475,44.5475
2021-05-11,49.2275,49.775,42.14
2021-05-12,48.4475,53.7125,46.3025
2021-05-13,53.465,50.69,48.095
2021-05-14,56.75,55.3175,51.2525
2021-05-15,57.965,55.1375,53.615
2021-05-16,62.8025,66.5825,54.9425
2021-05-17,61.445,63.1025,58.19
